Welcome to the profile statistics browser.
cProfiled.rmm.pool% cProfiled.rmm.pool% Wed May 11 16:21:45 2022    cProfiled.rmm.pool

         11575143 function calls (11544055 primitive calls) in 75.363 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5712    0.018    0.000    0.029    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cupy/linalg/_einsum.py:607(<listcomp>)
      200    0.017    0.000    0.020    0.000 {method 'choice' of 'numpy.random.mtrand.RandomState' objects}
     9102    0.017    0.000    0.017    0.000 {method 'splitlines' of 'str' objects}
    22848    0.017    0.000    0.017    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cupy/_core/_gufuncs.py:318(<genexpr>)
     2307    0.016    0.000    0.085    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
      642    0.016    0.000    0.016    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/emcee/moves/red_blue.py:85(<listcomp>)
     5048    0.016    0.000    0.019    0.000 <frozen importlib._bootstrap>:87(acquire)
      935    0.016    0.000    0.055    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/inspect.py:2152(_signature_from_function)
      191    0.016    0.000    0.016    0.000 {built-in method builtins.eval}
   2313/6    0.016    0.000   11.596    1.933 <frozen importlib._bootstrap>:659(_load_unlocked)
   2411/6    0.015    0.000   11.601    1.934 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
    19735    0.015    0.000    0.015    0.000 {method 'update' of 'dict' objects}
    21971    0.015    0.000    0.015    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numpy/core/_internal.py:304(data)
    24201    0.015    0.000    0.015    0.000 {method 'replace' of 'str' objects}
     5712    0.014    0.000    0.016    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cupy/_core/_gufuncs.py:297(<listcomp>)
    47996    0.014    0.000    0.014    0.000 {method 'startswith' of 'str' objects}
     2016    0.014    0.000    0.026    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numpy/linalg/linalg.py:2363(norm)
     5712    0.014    0.000    0.067    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cupy/linalg/_einsum.py:489(<listcomp>)
    22851    0.014    0.000    0.014    0.000 {method 'union' of 'set' objects}
19825/19773    0.014    0.000    0.022    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/core/types/abstract.py:117(__hash__)
     2273    0.014    0.000    0.116    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/textwrap.py:414(dedent)
 1519/205    0.014    0.000    0.041    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/sre_compile.py:71(_compile)
    15681    0.014    0.000    0.037    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/abc.py:117(__instancecheck__)
     2497    0.013    0.000    0.025    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/functools.py:35(update_wrapper)
    29743    0.013    0.000    0.013    0.000 {method 'match' of 're.Pattern' objects}
     5048    0.013    0.000    0.016    0.000 <frozen importlib._bootstrap>:112(release)
     4824    0.013    0.000   61.549    0.013 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/emcee/ensemble.py:622(__call__)
     4521    0.013    0.000    0.013    0.000 {method 'search' of 're.Pattern' objects}
     6443    0.013    0.000    0.014    0.000 {method 'format' of 'str' objects}
    34272    0.013    0.000    0.013    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cupy/_core/_gufuncs.py:241(<genexpr>)
    11425    0.013    0.000    0.013    0.000 {method 'count' of 'str' objects}
2385/2384    0.012    0.000    0.614    0.000 <frozen importlib._bootstrap_external>:1383(_get_spec)
 1627/935    0.012    0.000    0.086    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/inspect.py:2246(_signature_from_callable)
      191    0.012    0.000    0.031    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/collections/__init__.py:345(namedtuple)
    18713    0.012    0.000    0.012    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/sre_parse.py:233(__next)
    58592    0.012    0.000    0.012    0.000 {built-in method builtins.ord}
    25845    0.012    0.000    0.012    0.000 {built-in method builtins.hasattr}
    28560    0.011    0.000    0.011    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cupy/linalg/_einsum.py:535(<genexpr>)
    11424    0.011    0.000    0.053    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cupy/_creation/from_data.py:69(asanyarray)
    37540    0.011    0.000    0.011    0.000 {method 'pop' of 'dict' objects}
     2709    0.011    0.000    0.026    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/enum.py:88(__setitem__)
    22848    0.011    0.000    0.011    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cupy/_core/_gufuncs.py:243(<genexpr>)
    11424    0.011    0.000    0.011    0.000 {method 'astype' of 'cupy._core.core.ndarray' objects}
     1898    0.011    0.000    1.209    0.001 <frozen importlib._bootstrap_external>:1036(get_data)
     4271    0.011    0.000    0.020    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/inspect.py:2498(__init__)
